1175	B	524
1176	IDR	8879
1177	B	502
1178	B	545
1179	P	3423
1180	B	645
1181	B	628
1182	P	3508
1183	B	641
1184	B	548
1185	P	3217
1186	B	706
1187	B	710
1188	P	4019
1189	B	734
1190	B	565
1191	P	5025
1192	B	625
1193	B	797
1194	P	3973
1195	B	514
1196	B	459
1197	P	4273
1198	B	913
1199	B	460
1200	IDR	9280
1201	B	594
1202	B	633
1203	P	3730
1204	B	744
1205	B	1014
1206	P	4299
1207	B	912
1208	B	855
1209	P	4453
1210	B	886
1211	B	835
1212	P	4314
1213	B	982
1214	B	1176
1215	P	4677
1216	B	1137
1217	B	1077
1218	P	4701
1219	B	988
1220	B	1123
1221	P	4646
1222	B	1656
1223	B	893
1224	IDR	8862
1225	B	650
1226	B	715
1227	P	3914
1228	B	844
1229	B	811
1230	P	3851
1231	B	603
1232	B	623
1233	P	3583
1234	B	646
1235	B	563
1236	P	4033
1237	B	689
1238	B	984
1239	P	4082
1240	B	866
1241	B	749
1242	P	4055
1243	B	524
1244	B	720
1245	P	4408
1246	B	1963
1247	B	1342
1248	IDR	8355
1249	B	699
1250	B	1169
1251	P	10856
1252	B	2572
1253	B	1965
1254	P	8644
1255	B	4623
1256	B	5464
1257	P	7696
1258	B	3730
1259	B	3621
1260	P	9267
1261	B	1604
1262	B	1225
1263	P	9293
1264	B	980
1265	B	1431
1266	P	8069
1267	B	1847
1268	B	1739
1269	P	7603
1270	B	7675
1271	B	4258
1272	IDR	9085
1273	B	1393
1274	B	1373
1275	P	8329
1276	B	1914
1277	B	2771
1278	P	7772
1279	B	5533
1280	B	5984
1281	P	7779
1282	B	3402
1283	B	3289
1284	P	8819
1285	B	3268
1286	B	3729
1287	P	8293
1288	B	2074
1289	B	523
1290	P	7576
1291	B	396
1292	B	424
1293	P	4920
1294	B	4414
1295	B	3108
1296	IDR	7192
1297	B	3253
1298	B	1786
1299	P	6238
1300	B	4318
1301	B	4359
1302	P	7131
1303	B	4337
1304	B	2989
1305	P	7840
1306	B	2849
1307	B	2935
1308	P	6023
1309	B	4772
1310	B	4027
1311	P	8206
1312	B	3912
1313	B	3045
1314	P	8520
1315	B	3831
1316	B	4839
1317	P	7861
1318	B	6988
1319	B	5231
1320	IDR	8146
1321	B	4315
1322	B	4794
1323	P	6683
1324	B	4489
1325	B	5760
1326	P	8218
1327	B	3150
1328	B	1877
1329	P	6449
1330	B	2219
1331	B	1676
1332	P	5656
1333	B	3245
1334	B	4315
1335	P	6479
1336	B	2844
1337	B	3638
1338	P	5800
1339	B	4477
1340	B	4314
1341	P	9113
1342	B	3662
1343	B	1241
1344	IDR	11073
1345	B	545
1346	B	274
1347	P	6668
1348	B	128
1349	B	217
1350	P	4075
1351	B	137
1352	B	126
1353	P	4816
1354	B	393
1355	B	557
1356	P	8136
1357	B	1683
1358	B	1689
1359	P	7981
1360	B	5164
1361	B	5615
1362	P	6856
1363	B	5973
1364	B	2951
1365	P	8317
1366	B	967
1367	B	227
1368	IDR	9690
1369	B	286
1370	B	153
1371	P	16559
1372	B	235
1373	B	218
1374	P	2219
1375	B	291
1376	B	278
1377	P	3076
1378	B	567
1379	B	541
1380	P	4763
1381	B	839
1382	B	864
1383	P	6212
1384	B	1280
1385	B	1113
1386	P	8629
1387	B	1871
1388	B	2446
1389	P	8711
1390	B	5017
1391	B	3048
1392	IDR	13062
1393	B	2387
1394	B	2253
1395	P	7765
1396	B	1872
1397	B	1965
1398	P	7453
1399	B	1306
1400	B	1457
1401	P	6136
1402	B	859
1403	B	1001
1404	P	4932
1405	B	553
1406	B	615
1407	P	4602
1408	B	407
1409	B	472
1410	P	4296
1411	B	419
1412	B	389
1413	P	3931
1414	B	255
1415	B	257
1416	IDR	13876
1417	B	56
1418	B	156
1419	P	5699
1420	B	51
1421	B	54
1422	P	963
1423	B	57
1424	B	80
1425	P	1695
1426	B	57
1427	B	92
1428	P	1500
1429	B	88
1430	B	91
1431	P	2249
1432	B	141
1433	B	138
1434	P	2358
1435	B	99
1436	B	114
1437	P	2234
1438	B	477
1439	B	367
1440	IDR	14272
1441	B	489
1442	B	440
1443	P	2821
1444	B	68
1445	B	157
1446	P	2142
1447	B	59
1448	B	56
1449	P	1107
1450	B	104
1451	B	74
1452	P	1186
1453	B	63
1454	B	118
1455	P	1393
1456	B	57
1457	B	53
1458	P	1927
1459	B	207
1460	B	80
1461	P	2593
1462	B	3052
1463	B	1966
1464	IDR	13968
1465	B	2157
1466	B	2095
1467	P	6894
1468	B	2183
1469	B	2443
1470	P	6741
1471	B	1769
1472	B	2125
1473	P	6874
1474	B	1396
1475	B	1569
1476	P	8228
1477	B	1033
1478	B	1075
1479	P	4049
1480	B	756
1481	B	758
1482	P	5250
1483	B	692
1484	B	632
1485	P	5222
1486	B	1970
1487	B	980
1488	IDR	12014
1489	B	645
1490	B	568
1491	P	4243
1492	B	221
1493	B	300
1494	P	3828
1495	B	298
1496	B	389
1497	P	4140
1498	B	211
1499	B	225
1500	P	3567
1501	B	262
1502	B	242
1503	P	3430
1504	B	362
1505	B	932
1506	P	20227
1507	B	1449
1508	B	1437
1509	P	6313
1510	B	2783
1511	B	2137
1512	IDR	19706
1513	B	837
1514	B	855
1515	P	5812
1516	B	734
1517	B	713
1518	P	5095
1519	B	858
1520	B	849
1521	P	5901
1522	B	709
1523	B	795
1524	P	4681
1525	B	785
1526	B	839
1527	P	5097
1528	B	760
1529	B	822
1530	P	5396
1531	B	646
1532	B	611
1533	P	4606
1534	B	1577
1535	B	845
1536	IDR	19680
1537	B	832
1538	B	746
1539	P	5427
1540	B	1279
1541	B	925
1542	P	16707
1543	B	1167
1544	B	1139
1545	P	5751
1546	B	1078
1547	B	1036
1548	P	5742
1549	B	993
1550	B	935
1551	P	5372
1552	B	1013
1553	B	983
1554	P	5073
1555	B	1100
1556	B	1211
1557	P	6070
1558	B	2408
1559	B	1480
1560	IDR	16544
1561	B	1878
1562	B	1333
1563	P	10272
1564	B	958
1565	B	901
1566	P	4127
1567	B	1634
1568	B	1479
1569	P	12516
1570	B	1975
1571	B	1332
1572	P	5349
1573	B	1797
1574	B	1299
1575	P	5433
1576	B	1394
1577	B	1203
1578	P	4594
1579	B	1403
1580	B	1251
1581	P	4027
1582	B	1382
1583	B	768
1584	IDR	13000
1585	B	471
1586	B	512
1587	P	3817
1588	B	3773
1589	B	2638
1590	P	19871
1591	B	2735
1592	B	3100
1593	P	8447
1594	B	2929
1595	B	2731
1596	P	7708
1597	B	3260
1598	B	3352
1599	P	9031
1600	B	3543
1601	B	3647
1602	P	10013
1603	B	3188
1604	B	3335
1605	P	11189
1606	B	2255
1607	B	1099
1608	IDR	19794
1609	B	936
1610	B	1082
1611	P	7343
1612	B	1235
1613	B	1141
1614	P	6700
1615	B	1580
1616	B	1586
1617	P	7994
1618	B	1329
1619	B	1660
1620	P	12027
1621	B	1512
1622	B	1402
1623	P	6174
1624	B	959
1625	B	904
1626	P	5178
1627	B	849
1628	B	1078
1629	P	7263
1630	B	3353
1631	B	2038
1632	IDR	18887
1633	B	1423
1634	B	1409
1635	P	7984
1636	B	729
1637	B	907
1638	P	6364
1639	B	1159
1640	B	1082
1641	P	6845
1642	B	828
1643	B	737
1644	P	5060
1645	B	848
1646	B	776
1647	P	5818
1648	B	795
1649	B	771
1650	P	6165
1651	B	670
1652	B	731
1653	P	5846
1654	B	2079
1655	B	1109
1656	IDR	19114
1657	B	1152
1658	B	1649
1659	P	6413
1660	B	4013
1661	B	3889
1662	P	11174
1663	B	2754
1664	B	2071
1665	P	8901
1666	B	1639
1667	B	2073
1668	P	10166
1669	B	393
1670	B	367
1671	P	2432
1672	B	328
1673	B	427
1674	P	2707
1675	B	637
1676	B	515
1677	P	3336
1678	B	456
1679	B	357
1680	IDR	9635
1681	B	369
1682	B	313
1683	P	2356
1684	B	294
1685	B	352
1686	P	3573
1687	B	614
1688	B	484
1689	P	4258
1690	B	511
1691	B	658
1692	P	4580
1693	B	1167
1694	B	1333
1695	P	5906
1696	B	899
1697	B	850
1698	P	4819
1699	B	530
1700	B	398
1701	P	3900
1702	B	811
